caldt,vwretd,ewretd
09/12/1973,-0.001512,-0.002176
09/13/1973,0.003147,0.001235
09/14/1973,0.010663,0.007324
09/17/1973,-0.002715,0.005364
09/18/1973,-0.003615,0.002531
09/19/1973,0.020565,0.019195
09/20/1973,0.008384,0.013026
09/21/1973,0.004110,0.008894
09/24/1973,0.001593,0.008704
09/25/1973,0.006390,0.006657
09/26/1973,0.007245,0.011096
09/27/1973,0.002630,0.002500
09/28/1973,-0.006108,-0.003925
10/01/1973,-0.001963,0.004918
10/02/1973,0.005562,0.010609
10/03/1973,-0.000134,0.007898
10/04/1973,-0.003396,-0.002073
10/05/1973,0.013440,0.009324
10/08/1973,0.003532,0.006408
10/09/1973,-0.000783,-0.000964
10/10/1973,-0.012066,-0.014774
10/11/1973,0.017030,0.016277
10/12/1973,0.003202,0.004691
10/15/1973,-0.012347,-0.011797
10/16/1973,0.001206,-0.002504
10/17/1973,-0.002164,-0.002789
10/18/1973,0.000331,-0.002021
10/19/1973,0.002077,0.002136
10/22/1973,-0.009786,-0.011203
10/23/1973,0.005573,0.001241
10/24/1973,0.004675,0.001329
10/25/1973,0.002266,0.000093
10/26/1973,0.008043,0.009282
10/29/1973,-0.001834,-0.001657
10/30/1973,-0.015972,-0.013210
10/31/1973,-0.009362,-0.009588
11/01/1973,-0.005313,-0.010273
11/02/1973,-0.004650,-0.007012
11/05/1973,-0.014125,-0.016210
11/06/1973,-0.005295,-0.008187
11/07/1973,0.008199,0.006836
11/08/1973,0.011718,0.011116
11/09/1973,-0.014971,-0.013768
11/12/1973,-0.007875,-0.019592
11/13/1973,-0.000487,-0.012063
11/14/1973,-0.018257,-0.020838
11/15/1973,-0.000164,0.000043
11/16/1973,0.014599,0.012294
11/19/1973,-0.030490,-0.031634
11/20/1973,-0.020180,-0.029038
11/21/1973,0.011528,0.012471
11/23/1973,-0.002162,0.002296
11/26/1973,-0.028013,-0.034057
11/27/1973,-0.008736,-0.007974
11/28/1973,0.020333,0.021137
11/29/1973,-0.003292,-0.003076
11/30/1973,-0.013799,-0.014800
12/03/1973,-0.021112,-0.024897
12/04/1973,-0.003306,-0.005140
12/05/1973,-0.015358,-0.021869
12/06/1973,0.024698,0.019533
12/07/1973,0.022346,0.032685
12/10/1973,0.015037,0.016047
12/11/1973,-0.019426,-0.015794
12/12/1973,-0.025862,-0.027414
12/13/1973,-0.012730,-0.016681
12/14/1973,0.010055,0.012296
12/17/1973,-0.005801,-0.005341
12/18/1973,0.021496,0.014407
12/19/1973,0.000799,-0.000202
12/20/1973,-0.003016,-0.000959
12/21/1973,-0.010902,-0.007715
12/24/1973,-0.006754,0.001635
12/26/1973,0.031023,0.021428
12/27/1973,0.020958,0.020240
12/28/1973,-0.001711,-0.003539
12/31/1973,0.000066,0.006663
01/02/1974,0.001622,0.013609
01/03/1974,0.021486,0.037258
01/04/1974,-0.008896,0.006823
01/07/1974,-0.008302,0.002530
01/08/1974,-0.019916,-0.016664
01/09/1974,-0.028119,-0.026042
01/10/1974,-0.011050,-0.011122
01/11/1974,0.013950,0.012921
01/14/1974,-0.002472,0.002326
01/15/1974,0.008895,0.005070
01/16/1974,0.015429,0.012186
01/17/1974,0.017050,0.017600
01/18/1974,-0.017944,-0.012344
01/21/1974,-0.001386,-0.004212
01/22/1974,0.012137,0.009716
01/23/1974,0.005218,0.009311
01/24/1974,-0.002522,0.001319
01/25/1974,-0.002016,0.002160
01/28/1974,-0.005379,-0.002091
01/29/1974,-0.000406,-0.001753
01/30/1974,0.011167,0.011439
01/31/1974,-0.005029,-0.001167
02/01/1974,-0.012942,-0.012079
02/04/1974,-0.020081,-0.021193
02/05/1974,-0.003096,-0.003942
02/06/1974,0.003393,0.003969
02/07/1974,0.001005,0.004483
02/08/1974,-0.010007,-0.007595
02/11/1974,-0.017987,-0.013278
02/12/1974,0.003074,0.002713
02/13/1974,0.000561,0.000360
02/14/1974,-0.000304,0.003321
02/15/1974,0.015025,0.011441
02/19/1974,-0.001466,-0.000407
02/20/1974,0.014626,0.010143
02/21/1974,0.014555,0.012638
02/22/1974,0.007270,0.009560
02/25/1974,-0.003412,0.001307
02/26/1974,0.010408,0.012154
02/27/1974,0.004410,0.004916
02/28/1974,-0.001913,-0.000953
03/01/1974,-0.007112,-0.003382
03/04/1974,0.000302,-0.000605
03/05/1974,0.019017,0.016283
03/06/1974,0.006775,0.007746
03/07/1974,-0.010629,-0.006299
03/08/1974,0.008925,0.008216
03/11/1974,0.011427,0.009872
03/12/1974,0.002862,0.002439
03/13/1974,0.005902,0.003956
03/14/1974,-0.000736,0.000484
03/15/1974,-0.003721,-0.003212
03/18/1974,-0.012910,-0.011444
03/19/1974,-0.008342,-0.006890
03/20/1974,0.003652,0.002740
03/21/1974,-0.001961,-0.002409
03/22/1974,-0.000750,-0.003043
03/25/1974,0.004088,-0.000698
03/26/1974,0.003165,0.002076
03/27/1974,-0.014061,-0.010136
03/28/1974,-0.018395,-0.019448
03/29/1974,-0.008739,-0.005210
04/01/1974,-0.007543,-0.003655
04/02/1974,0.000944,-0.000561
04/03/1974,0.010585,0.006086
04/04/1974,0.000067,-0.001056
04/05/1974,-0.013973,-0.012067
04/08/1974,-0.010388,-0.011559
04/09/1974,0.006436,0.004594
04/10/1974,-0.002258,0.000151
04/11/1974,-0.003029,-0.001562
04/15/1974,-0.000640,-0.000530
04/16/1974,0.017622,0.014887
04/17/1974,0.007298,0.006973
04/18/1974,0.004534,0.004097
04/19/1974,-0.010963,-0.009115
04/22/1974,-0.003952,-0.005382
04/23/1974,-0.016762,-0.021123
04/24/1974,-0.016380,-0.018748
04/25/1974,-0.008113,-0.012884
04/26/1974,0.006888,0.005575
04/29/1974,-0.001580,-0.000912
04/30/1974,0.003862,0.002806
05/01/1974,0.021602,0.018418
05/02/1974,-0.000948,0.000544
05/03/1974,-0.008680,-0.008125
05/06/1974,-0.000521,-0.003049
05/07/1974,0.003822,-0.000430
05/08/1974,0.002909,-0.000971
05/09/1974,0.014620,0.008191
05/10/1974,-0.015696,-0.012079
05/13/1974,-0.008544,-0.009335
05/14/1974,0.000617,-0.003198
05/15/1974,-0.002380,-0.004526
05/16/1974,-0.008098,-0.004525
05/17/1974,-0.016787,-0.016884
05/20/1974,-0.003770,-0.004924
05/21/1974,0.000768,-0.004832
05/22/1974,-0.009101,-0.012300
05/23/1974,0.002372,-0.003957
05/24/1974,0.016295,0.014397
05/28/1974,-0.002159,-0.000035
05/29/1974,-0.016814,-0.016648
05/30/1974,0.006406,0.005214
05/31/1974,-0.001710,-0.002076
06/03/1974,0.021235,0.019152
06/04/1974,0.011976,0.016759
06/05/1974,0.001812,0.005123
06/06/1974,0.018494,0.013529
06/07/1974,0.006370,0.008661
06/10/1974,0.006304,0.005104
06/11/1974,-0.008825,-0.009068
06/12/1974,-0.002350,-0.007515
06/13/1974,0.002854,0.001457
06/14/1974,-0.011066,-0.010216
06/17/1974,-0.013632,-0.013057
06/18/1974,-0.006602,-0.008157
06/19/1974,-0.006670,-0.007080
06/20/1974,-0.006955,-0.007991
06/21/1974,-0.008550,-0.008731
06/24/1974,0.002882,-0.000747
06/25/1974,0.014713,0.010936
06/26/1974,-0.015654,-0.011922
06/27/1974,-0.014541,-0.016816
06/28/1974,-0.003605,-0.005629
07/01/1974,0.000360,-0.001034
07/02/1974,-0.020147,-0.017264
07/03/1974,-0.000492,-0.002117
07/05/1974,-0.006833,-0.004714
07/08/1974,-0.030751,-0.031150
07/09/1974,0.004891,0.001606
07/10/1974,-0.018464,-0.014781
07/11/1974,-0.001415,-0.000237
07/12/1974,0.040839,0.038447
07/15/1974,0.007819,0.011613
07/16/1974,-0.011657,-0.008872
07/17/1974,0.010968,0.009554
07/18/1974,0.000954,0.005929
07/19/1974,-0.002926,-0.001247
07/22/1974,0.003393,0.001255
07/23/1974,0.010000,0.014360
07/24/1974,0.003907,0.004855
07/25/1974,-0.011903,-0.003402
07/26/1974,-0.018771,-0.013396
07/29/1974,-0.017419,-0.017027
07/30/1974,-0.005158,-0.007000
07/31/1974,-0.014576,-0.009990
08/01/1974,-0.006576,-0.005564
08/02/1974,-0.001914,-0.002011
08/05/1974,0.010040,0.007483
08/06/1974,0.016358,0.013071
08/07/1974,0.026724,0.024583
08/08/1974,-0.012573,-0.003254
08/09/1974,-0.008193,-0.003701
08/12/1974,-0.013404,-0.007624
08/13/1974,-0.015670,-0.016012
08/14/1974,-0.022069,-0.020337
08/15/1974,-0.005385,-0.005891
08/16/1974,-0.007897,-0.004763
08/19/1974,-0.013992,-0.017297
08/20/1974,0.005027,0.004865
08/21/1974,-0.019180,-0.012211
08/22/1974,-0.009390,-0.012110
08/23/1974,-0.016066,-0.014863
08/26/1974,0.009061,0.001356
08/27/1974,-0.016116,-0.016690
08/28/1974,-0.002591,-0.007140
08/29/1974,-0.010795,-0.018473
08/30/1974,0.031171,0.026743
09/03/1974,-0.022666,-0.014415
09/04/1974,-0.025677,-0.026711
09/05/1974,0.032149,0.023297
09/06/1974,0.007591,0.014024
09/09/1974,-0.023677,-0.019470
09/10/1974,-0.006518,-0.009518
09/11/1974,-0.010063,-0.011598
09/12/1974,-0.026799,-0.027893
09/13/1974,-0.022625,-0.020239
09/16/1974,0.016577,0.009885
09/17/1974,0.017471,0.022276
09/18/1974,0.004760,0.001186
09/19/1974,0.035148,0.037365
09/20/1974,0.000724,0.010521
09/23/1974,-0.010399,-0.001173
09/24/1974,-0.020100,-0.015841
09/25/1974,-0.006005,0.004095
09/26/1974,-0.016530,-0.014386
09/27/1974,-0.023107,-0.015333
09/30/1974,-0.021476,-0.022784
10/01/1974,-0.002417,-0.001598
10/02/1974,-0.000110,0.007212
10/03/1974,-0.017206,-0.012331
10/04/1974,0.001226,0.004823
10/07/1974,0.041883,0.038551
10/08/1974,-0.001601,0.004570
10/09/1974,0.046265,0.033301
10/10/1974,0.029047,0.027992
10/11/1974,0.019666,0.015829
10/14/1974,0.022458,0.021848
10/15/1974,-0.017864,-0.017830
10/16/1974,-0.015750,-0.012526
10/17/1974,0.012291,0.005092
10/18/1974,0.015658,0.011693
10/21/1974,0.017256,0.008408
10/22/1974,-0.005147,-0.000521
10/23/1974,-0.028915,-0.020841
10/24/1974,-0.011363,-0.015230
10/25/1974,-0.001331,0.001049
10/28/1974,0.000195,-0.002636
10/29/1974,0.039859,0.021840
10/30/1974,0.021095,0.014081
10/31/1974,-0.005526,0.000185
11/01/1974,0.000585,0.000670
11/04/1974,-0.009562,-0.008724
11/05/1974,0.027715,0.020141
11/06/1974,-0.004079,0.002110
11/07/1974,0.006645,0.007803
11/08/1974,-0.003488,0.001253
